Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Smith County,2017,Third Quarter,520,11335,0.7,333,2.5,Leisure and Hospitality,48423,TX
Somervell County,2017,Third Quarter,35,437,-2.5,358,-8.9,Leisure and Hospitality,48425,TX
Starr County,2017,Third Quarter,59,818,-2.5,267,2.3,Leisure and Hospitality,48427,TX
Stephens County,2017,Third Quarter,20,198,8.8,270,-6.3,Leisure and Hospitality,48429,TX
Sterling County,2017,Third Quarter,4,,,,,Leisure and Hospitality,48431,TX
Stonewall County,2017,Third Quarter,6,34,-2.9,169,5.6,Leisure and Hospitality,48433,TX
Sutton County,2017,Third Quarter,15,150,4.2,275,-2.1,Leisure and Hospitality,48435,TX
Swisher County,2017,Third Quarter,14,146,2.1,235,-3.3,Leisure and Hospitality,48437,TX
Tarrant County,2017,Third Quarter,4244,104777,1.9,445,-0.9,Leisure and Hospitality,48439,TX
Taylor County,2017,Third Quarter,361,7785,0.9,329,1.9,Leisure and Hospitality,48441,TX
Terrell County,2017,Third Quarter,4,,,,,Leisure and Hospitality,48443,TX
Terry County,2017,Third Quarter,22,275,2.6,268,11.7,Leisure and Hospitality,48445,TX
Throckmorton County,2017,Third Quarter,2,,,,,Leisure and Hospitality,48447,TX
Titus County,2017,Third Quarter,64,1295,1.2,277,-2.5,Leisure and Hospitality,48449,TX
Tom Green County,2017,Third Quarter,281,5911,1.9,307,-2.5,Leisure and Hospitality,48451,TX
Travis County,2017,Third Quarter,3709,91371,1,468,3.3,Leisure and Hospitality,48453,TX
Trinity County,2017,Third Quarter,23,396,-10.6,443,11.6,Leisure and Hospitality,48455,TX
Tyler County,2017,Third Quarter,23,266,0,231,0.9,Leisure and Hospitality,48457,TX
Upshur County,2017,Third Quarter,48,812,13.6,252,-6.7,Leisure and Hospitality,48459,TX
Upton County,2017,Third Quarter,9,27,8,190,-16.7,Leisure and Hospitality,48461,TX
Uvalde County,2017,Third Quarter,73,1112,-0.2,332,3.4,Leisure and Hospitality,48463,TX
Val Verde County,2017,Third Quarter,95,1781,0.1,293,-5.2,Leisure and Hospitality,48465,TX
Van Zandt County,2017,Third Quarter,87,1689,-3.4,290,1.8,Leisure and Hospitality,48467,TX
Victoria County,2017,Third Quarter,241,4159,-6.3,317,-1.9,Leisure and Hospitality,48469,TX
Walker County,2017,Third Quarter,114,2473,2.5,296,1,Leisure and Hospitality,48471,TX
Waller County,2017,Third Quarter,56,1178,-9.6,359,0.8,Leisure and Hospitality,48473,TX
Ward County,2017,Third Quarter,38,405,4.7,350,12.5,Leisure and Hospitality,48475,TX
Washington County,2017,Third Quarter,88,1280,-7.2,327,7.9,Leisure and Hospitality,48477,TX
Webb County,2017,Third Quarter,497,11453,3.6,292,-4.3,Leisure and Hospitality,48479,TX
Wharton County,2017,Third Quarter,91,1230,-10.5,268,-8.5,Leisure and Hospitality,48481,TX
Wheeler County,2017,Third Quarter,28,315,-0.9,273,0.4,Leisure and Hospitality,48483,TX
Wichita County,2017,Third Quarter,317,6315,-1.2,297,3.5,Leisure and Hospitality,48485,TX
Wilbarger County,2017,Third Quarter,29,407,-19.9,277,9.1,Leisure and Hospitality,48487,TX
Willacy County,2017,Third Quarter,34,410,-1.2,262,6.1,Leisure and Hospitality,48489,TX
Williamson County,2017,Third Quarter,958,21133,4.4,368,-1.1,Leisure and Hospitality,48491,TX
Wilson County,2017,Third Quarter,66,641,-1.1,316,12.5,Leisure and Hospitality,48493,TX
Winkler County,2017,Third Quarter,14,124,-6.8,288,2.5,Leisure and Hospitality,48495,TX
Wise County,2017,Third Quarter,108,1676,-4.4,309,4,Leisure and Hospitality,48497,TX
Wood County,2017,Third Quarter,88,1106,2.6,283,4,Leisure and Hospitality,48499,TX
Yoakum County,2017,Third Quarter,21,187,5.6,243,0,Leisure and Hospitality,48501,TX
Young County,2017,Third Quarter,47,597,4.7,302,0.3,Leisure and Hospitality,48503,TX
Zapata County,2017,Third Quarter,23,205,-1.4,230,-10.2,Leisure and Hospitality,48505,TX
Zavala County,2017,Third Quarter,14,174,13.7,230,-5.7,Leisure and Hospitality,48507,TX
 ,,,,,,,,,,
