Area Name,Year,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS,USPS
Sherman County,2017,Third Quarter,32,389,-10,801,-4,Natural Resources and Mining,48421,TX
Smith County,2017,Third Quarter,204,2686,1.6,1304,-9.3,Natural Resources and Mining,48423,TX
Somervell County,2017,Third Quarter,9,143,286.5,1189,-63.1,Natural Resources and Mining,48425,TX
Starr County,2017,Third Quarter,22,230,-6.1,982,-2.6,Natural Resources and Mining,48427,TX
Stephens County,2017,Third Quarter,62,402,5.8,929,0.5,Natural Resources and Mining,48429,TX
Sterling County,2017,Third Quarter,27,155,-5.5,1148,11.2,Natural Resources and Mining,48431,TX
Stonewall County,2017,Third Quarter,16,80,15.9,1023,47.2,Natural Resources and Mining,48433,TX
Sutton County,2017,Third Quarter,45,380,17.6,1721,-0.9,Natural Resources and Mining,48435,TX
Swisher County,2017,Third Quarter,56,346,-1.1,691,4.9,Natural Resources and Mining,48437,TX
Tarrant County,2017,Third Quarter,416,8577,5.7,1932,0.4,Natural Resources and Mining,48439,TX
Taylor County,2017,Third Quarter,134,1197,22.9,1349,17.2,Natural Resources and Mining,48441,TX
Terrell County,2017,Third Quarter,8,12,20,460,-10,Natural Resources and Mining,48443,TX
Terry County,2017,Third Quarter,146,1025,18.9,1240,9.8,Natural Resources and Mining,48445,TX
Throckmorton County,2017,Third Quarter,19,80,-12.1,565,-22.3,Natural Resources and Mining,48447,TX
Titus County,2017,Third Quarter,21,186,-26.8,1311,-19.9,Natural Resources and Mining,48449,TX
Tom Green County,2017,Third Quarter,184,1475,6.7,1061,4.1,Natural Resources and Mining,48451,TX
Travis County,2017,Third Quarter,211,2428,9.6,2583,-3.5,Natural Resources and Mining,48453,TX
Trinity County,2017,Third Quarter,7,37,,1154,,Natural Resources and Mining,48455,TX
Tyler County,2017,Third Quarter,24,164,-5.2,952,-4.6,Natural Resources and Mining,48457,TX
Upshur County,2017,Third Quarter,26,126,20,1136,12.6,Natural Resources and Mining,48459,TX
Upton County,2017,Third Quarter,27,440,5.8,2095,29.8,Natural Resources and Mining,48461,TX
Uvalde County,2017,Third Quarter,82,658,-10.7,569,-6.4,Natural Resources and Mining,48463,TX
Val Verde County,2017,Third Quarter,29,174,51.3,1280,126.5,Natural Resources and Mining,48465,TX
Van Zandt County,2017,Third Quarter,57,499,1.2,541,-6.6,Natural Resources and Mining,48467,TX
Victoria County,2017,Third Quarter,135,2297,19.9,1419,6.5,Natural Resources and Mining,48469,TX
Walker County,2017,Third Quarter,32,141,-10.2,897,16.2,Natural Resources and Mining,48471,TX
Waller County,2017,Third Quarter,63,540,25.9,1439,14.9,Natural Resources and Mining,48473,TX
Ward County,2017,Third Quarter,83,1409,4.9,1420,11.1,Natural Resources and Mining,48475,TX
Washington County,2017,Third Quarter,66,254,-2.7,836,5.6,Natural Resources and Mining,48477,TX
Webb County,2017,Third Quarter,105,2153,42.1,1244,0.5,Natural Resources and Mining,48479,TX
Wharton County,2017,Third Quarter,201,2357,0.1,871,2.7,Natural Resources and Mining,48481,TX
Wheeler County,2017,Third Quarter,45,419,12,1332,16.3,Natural Resources and Mining,48483,TX
Wichita County,2017,Third Quarter,169,945,-3.1,1226,9.4,Natural Resources and Mining,48485,TX
Wilbarger County,2017,Third Quarter,31,252,1.6,641,9.8,Natural Resources and Mining,48487,TX
Willacy County,2017,Third Quarter,66,405,25.8,688,2.2,Natural Resources and Mining,48489,TX
Williamson County,2017,Third Quarter,72,1136,2.2,881,-1.3,Natural Resources and Mining,48491,TX
Wilson County,2017,Third Quarter,43,324,9.1,839,-9.1,Natural Resources and Mining,48493,TX
Winkler County,2017,Third Quarter,50,679,16.3,1531,5.3,Natural Resources and Mining,48495,TX
Wise County,2017,Third Quarter,121,1843,5,1299,5,Natural Resources and Mining,48497,TX
Wood County,2017,Third Quarter,38,340,-1.7,981,-4.5,Natural Resources and Mining,48499,TX
Yoakum County,2017,Third Quarter,92,1407,1.7,1391,4.6,Natural Resources and Mining,48501,TX
Young County,2017,Third Quarter,116,680,-3.5,1231,17.6,Natural Resources and Mining,48503,TX
Zapata County,2017,Third Quarter,21,1158,65.2,1201,1.7,Natural Resources and Mining,48505,TX
Zavala County,2017,Third Quarter,35,196,0,827,12.2,Natural Resources and Mining,48507,TX
 ,,,,,,,,,,
